Acronyms,Term,Description,Comment,,
,AOR,Allowable Operating Region,,,
,BEP,Best Efficiency Point,,,
,NPSH3,Net positive suction head required resulting in 3% loss of total head,,,
,NPSHA,Net positive suction head available ,,,
,NPSH,Net Positive Suction Head Required,,,
,POR,Preferred Operating Region,,,
,VFD,Variable frequency drive,,,
,VSD,Variable speed drive,,,
DEFINITIONS,Term,Description,Source:: https://www.pumps.org/what-we-do/standards/?pumps-search-product={{REF}},Section,Comment
,Abrasive wear (or abrasion),"Wear due to hard particles or hard, small surface protrusions forced against and moving along a material surface. Wear occurring by the mechanical action of suspended abrasives or by abrasives that crystallize on the atmospheric side of the seal. ",ANSI/HI 14.1-14.1,Solids and Slurries,
,Affinity Rules,(EDL committee awaiting guidance from 14.1-14.2 on official definition),ANSI/HI 14.1-14.2,Pump Curves,Awaiting final definition
,Allowable operating region,"A wider range of rates of flow, inclusive of the POR, over which the service life of a pump, although reduced, is within acceptable limits.",ANSI/HI 9.6.3,Pump Curves,
,Axial flow impeller,An axial-flow impeller has a single inlet with the flow entering and discharging axially (or nearly axially). ,ANSI/HI 14.1-14.2,Pump Principles,
,Barske Impeller,"This impeller design represents the lowest range of specific speed for rotodynamic pumps and  consists of straight, radial vanes with open or semi open construction. ",ANSI/HI 14.3,Pump Principles,
,Best efficiency point (BEP),The best efficiency point (BEP) is the rate of flow and head at which the pump efficiency is a maximum at rated rpm or at a given speed and impeller diameter.,ANSI/HI 14.1-14.2,Pump Curves,
,Cavitation,"Cavitation is the phenomenon of vapor bubble formation in a liquid, in a region where the pressure falls below the liquid’s vapor pressure, followed by sudden collapse of bubbles due to an increase in pressure in the same region, or downstream.",ANSI/HI 3.1-3.5,Pump Principles,
,Closed Impeller,An enclosed impeller has both a inlet and hub shroud with leakage controlled by internal running clearances. ,ANSI/HI 14.1-14.2,Pump Principles,
,Concentration of solids by mass (or weight),"The mass (or weight) of dry solids in a given volume of slurry, divided by the total mass (or weight) of that volume of slurry, multiplied by 100 and expressed in percent.",ANSI/HI 12.1-12.6,Solids and Slurries,
,Concentration of solids by volume,"The actual volume of the solid material in a given volume of slurry, divided by the given volume of slurry, multiplied by 100, and expressed in percent.",ANSI/HI 12.1-12.6,Solids and Slurries,
,Corrosion,Loss of material created by chemical or electrochemical reaction within the pump environment,ANSI/HI 12.1-12.6,Solids and Slurries,
,Francis-Vane Impeller,"In impellers of this type, the liquid enters the eye of the impeller axially and exits semi-radially, at about a 60° to 70° angle to the shaft axis. ",ANSI/HI 14.1-14.2,Pump Principles,
,Friction head,Friction head is the hydraulic energy required to overcome frictional resistance of a piping system to liquid flow expressed in meters (feet) of liquid.,ANSI/HI 14.1-14.2,System Curves,
,K Value (Valves and Fittings),"Head loss though valves and standard fittings (minor losses) can be expressed in terms of a resistance coefficient K and the velocity head (V^2/2g). The value of K can be found for various fittings in the referenced sources and the Losses in Valves, Fittings and Bends section of the EDL. ", ,Combined Pump & System Curves,
,Major losses (pipe friction),The friction head loss associated with fluid moving through straight pipe. Refer to Friction Loss Calculator (https://edl.pumps.org/tools/frictional-losses.html), ,Fluid Flow: General,
,Pump Runout (Maximum Flow),The highest flowrate shown on the published pump curve., ,Pump Curves,
,Minor losses (valves & fittings),"The friction head loss associated with fluid moving through anything that is not straight pipe (valves, fittings, bends, nozzles, tank entrance and exits, etc.). Also see K value.", ,Fluid Flow: General,
,Mixed flow Impeller,"The mixed-flow impeller has a single inlet  with the flow entering axially and discharging about 45° with shaft axis, to the periphery. ",ANSI/HI 14.1-14.2,Pump Principles,
,Net positive suction head 3% (NPSH3), The value of NPSHR at which the first-stage to head drops by 3% due to cavitation.,ANSI/HI 14.1-14.2,Pump Principles,
,Net positive suction head available (NPSHA),"(14.1-14.2) The total suction head of liquid absolute, determined at the NPSH datum, less the absolute vapor pressure head of the liquid. 
(6.1-6.5) For a reciprocating pump, acceleration head loss is subtracted from the total suction head of the liquid absolute.","ANSI/HI 14.1-14.2, ANSI/HI 6.1-6.5",Pump Curves,
,Net positive suction head required (NPSHR),"NPSHR is a minimum NPSH given by the manufacturer/supplier for a pump achieving a specified performance at the specified rate of flow, speed, and pumped liquid (occurrence of visible cavitation, increase of noise and vibration due to cavitation, beginning of head or efficiency drop, head or efficiency drop of a given amount, limitation of cavitation erosion).",ANSI/HI 14.1-14.2,Pump Curves,
,Open Impeller,"An impeller with no front shroud and no (or a minimum) back shroud with the vanes running in close proximity to mating casing walls, side plates, or liners. ",ANSI/HI 14.1-14.2,Pump Principles,
,Parallel operation,Parallel pumping is when two separate pumps operate at the same time using the same inlet and discharge piping.,ANSI/HI 14.3,Pump Curves,
,Preferred operating region (POR),The preferred operating region (POR) is a range of rates of flow to either side of predicted BEP within which the hydraulic efficiency and the operational reliability of the pump are not substantially degraded. ,ANSI/HI 9.6.3,Pump Curves,
,Pump efficiency (?p),"The ratio of the pump output power to the pump input power; that is, the ratio of the liquid horsepower to the brake horsepower expressed in percent. Efficiency is expressed in percent. This term is used interchangeably with hydraulic efficiency.  Also called pump mechanical efficiency",ANSI/HI 14.1-14.2,Pump Curves,
,Pump input power (Pp),"The power needed to drive the complete pump assembly, including bowl assembly input power, line-shaft power loss, mechanical seal or gland packing friction losses, and thrust bearing loss. It is also called brake horsepower.",ANSI/HI 14.1-14.2,Pump Curves,
,Pump performance curve,"A pump performance curve is a graphical representation of the head generated, power, efficiency, and NPSHR by a specific pump model at rates of flow from zero to maximum at a given operating speed.",ANSI/HI 14.3,Pump Curves,
,Pump rate of flow (Q),The rate of flow of a pump is the total volume throughput per unit of time at suction conditions. It includes both liquid and any dissolved or entrained gases at the stated operating conditions. Rate of flow is expressed in cubic meters per hour (gallons per minute).,ANSI/HI 14.1-14.2,Pump Curves,
,Radial Flow Impeller,In radial flow (vaned) impellers the liquid enters the eye of the impeller axially and is turned by the impeller vanes and shroud to exit perpendicular to the axis of the pump shaft ,ANSI/HI 14.1-14.2,Pump Principles,
,Semi-Open Impeller,"An impeller with a shroud only on one side, leaving the vanes exposed on the other side. ",ANSI/HI 14.1-14.2,Pump Principles,
,Series operation,"Series pumping, sometimes referred to as staging, is when the discharge of one pump is routed into the inlet of the next pump.",ANSI/HI 14.3,Pump Curves,
,Shut-off head,"The pump head at the condition of zero flow where no liquid is flowing through the pump, but the pump is primed and running.",ANSI/HI 14.1-14.2,Pump Curves,
,Slurry,"Slurry is a mixture of solids (specific gravity typically greater than 1) in a liquid carrier, usually water. ",ANSI/HI 12.1-12.6,Solids and Slurries,
,Specific gravity of liquid,Specific Gravity is the ratio of density of a liquid relative to the density of water. The reference density for liquid used in Hydraulic Institute standards is based on water at 20 C (68 F) which is 998.2 kg/m3 (62.31 lbm/ft3),ANSI/HI 14.1-14.2,Solids and Slurries,
,Specific gravity of slurry (or mixture),The relative density of the slurry (mixture) to that of water at the same temperature.,ANSI/HI 12.1-12.6,Solids and Slurries,
,Specific gravity of solids,The relative density of solids with respect to water at standard temperature of 4º C (39.2º F).,ANSI/HI 12.1-12.6,Solids and Slurries,
,Specific speed,"An index of pump performance at the pump’s best efficiency
point (BEP) rate of flow, with the maximum diameter impeller, and at a given rotational speed. ",ANSI/HI 14.1-14.2,Pump Principles,
,System static head,"The height a liquid must be lifted as measured from the free surface of the liquid supplying the pump  to the free surface of the liquid’s destination, plus the difference in pressure acting upon these surfaces, expressed in height of the liquid. ", ,System Curves,
,Suction specific speed,Suction specific speed is an index of pump suction operating characteristics determined at the BEP rate of flow with the maximum diameter impeller. ,ANSI/HI 14.1-14.2,Pump Principles,
,System curve,A system curve is a representation describing the head requirement of the system as a function of flow rate, ,System Curves,
,Total head (H),"This is the measure of energy (work) increase per unit weight of the liquid, imparted to the liquid by the pump, and is the difference between the total discharge head and the total suction head. ",ANSI/HI 14.1-14.2,Pump Principles,
,Type number,A variation of impeller specific speed. Type number is a dimensionless quantity calculated at the point of best efficiency.,ANSI/HI 14.6,Pump Principles,
,Variable frequency drive (VFD),An electronic device used primarily for controlling the rotational speed of an alternating current (AC) electric motor by controlling the frequency of the electrical power supplied to the motor.,HI Application Guidelines for Variable Speed Pumping,Pump Curves,
,Variable speed drive (VSD),"Any device that can be used to vary the speed of the pump, either mechanically or electronically. This may include (but is not limited to) eddy current drives, magnetic drives, variable frequency drives, a hydraulic clutch, fluid drives, variable V-belt drives, and various variable mechanical drives, steam turbines, and gas turbines.",HI Application Guidelines for Variable Speed Pumping,Pump Curves,
,Velocity head,Velocity head is the kinetic energy per unit mass of the liquid in movement divided by g at a given section.,ANSI/HI 14.1-14.2,System Curves,
,"Viscosity (absolute viscosity, dynamic viscosity)","A measure of a liquid’s tendency to resist an internal shearing force. For the same given internal shear rate, a liquid that requires a high shear stress has a high viscosity and a liquid that requires a low shear stress has a low viscosity.",ANSI/HI 10.1-10.5,Viscosity,
Reference Standards and Guidelines,Designation:: https://www.pumps.org/what-we-do/standards/?pumps-search-product={{REF}},Title,,,
,ANSI/HI 3.1-3.5,"Rotary Pump for Nomenclature, Definitions, Applications and Operation",,,
,ANSI/HI 3.6,Rotary Pump Tests ,,,
,ANSI/HI 4.1-4.6,"Sealless, Magnetically Driven Rotary Pumps for Nomenclature, Definitions, Application, Operation, and Test",,,
,ANSI/HI 5.1-5.6,"Sealless Rotodynamic Pumps for Nomenclature, Definitions, Application, Operation, and Test ",,,
,HI 6.1-6.5,"Reciprocating Power Pumps for Nomenclature, Definitions, Application, and Operation ",,,
,HI 6.6,Reciprocating Pump Tests ,,,
,ANSI/HI 7.1-7.5,"Controlled Volume Metering Pumps for Nomenclature, Definitions, Application, and Operation ",,,
,ANSI/HI 7.6,Controlled-Volume Metering Pumps for Test,,,
,ANSI/HI 7.8,Controlled Volume Metering Pump Piping Guideline,,,
,ANSI/HI 8.1-8.5,"Direct Acting (Steam) Pumps for Nomenclature, Definitions, Applications, and Operation",,,
,ANSI/HI 9.1-9.5,Pumps - General Guidelines ,,,
,ANSI/HI 9.6.1,Rotodynamic Pumps Guideline for NPSH Margin,,,
,ANSI/HI 9.6.2,Rotodynamic Pumps for Allowable Nozzle Loads,,,
,ANSI/HI 9.6.3,Rotodynamic Pumps – Guideline for Operating Region,,,
,ANSI/HI 9.6.4,Rotodynamic Pumps for Vibration Measurements and Allowable Values,,,
,ANSI/HI 9.6.5,Rotodynamic Pumps Guideline for Condition Monitoring,,,
,ANSI/HI 9.6.6,Rotodynamic Pumps for Pump Piping,,,
,ANSI/HI 9.6.7,Rotodynamic Pumps – Guideline for Effects of Liquid Viscosity on Performance ,,,
,ANSI/HI 9.6.8,Rotodynamic Pumps – Guideline for Dynamics of Pumping Machinery,,,
,ANSI/HI 9.6.9,Rotary Pumps – Guidelines for Condition Monitoring,,,
,ANSI/HI 9.8,Rotodynamic Pumps for Pump Intake Design ,,,
,ANSI/HI 10.1-10.5,"Air Operated Pumps for Nomenclature, Definitions, Application, and Operation",,,
,ANSI/HI 10.6,Air Operated Pump Tests ,,,
,ANSI/HI 11.6,Rotodynamic Submersible Pumps for Mechanical and Electrical Acceptance Tests,,,
,ANSI/HI 12.1-12.6,"Rotodynamic Centrifugal Slurry Pumps for Nomenclature, Definitions, Applications, and Operation",,,
,ANSI/HI 14.1-14.2,Rotodynamic Pumps for Nomenclature and Definitions,,,
,ANSI/HI 14.3,Rotodynamic Pumps for Design and Application,,,
,ANSI/HI 14.4,"Rotodynamic Pumps for Installation, Operation, and Maintenance",,,
,ANSI/HI 14.6,Rotodynamic Pumps for Hydraulic Performance Acceptance Tests,,,
,HI 20.3,Rotodynamic Pump Efficiency Prediction,,,
,HI 30.1,General Purpose OH1 Rotodynamic Pump Specification ,,,
,HI 40.5,Program Guideline for HI Energy Rating Program,,,
,HI 40.6,Methods for Rotodynamic Pump Efficiency Testing ,,,
,HI 40.7,Program Guideline for Pump Test Laboratory Approval,,,
,HI 40.8,Pump Systems Assessment Professional Certification,,,
,HI 40.9,Pump Industry Fundamentals Body of Knowledge,,,
,HI 41.5,Program Guideline for Circulator Pump Energy Rating Program,,,
Reference Guidebooks,Title:: https://www.pumps.org/what-we-do/guidebooks-papers/?pumps-search-product={{REF}},,,,
,Pump Life Cycle Cost: A Guide to LCC Analysis for Pumping Systems ,,,,
,Engineering Data Book ,,,,
,Mechanical Seals for Pumps: Application Guidelines ,,,,
,"Pump Systems Optimization: A Guide for Improved Energy Efficiency, Reliability, and Profitability",,,,
,Power Plant Pumps: Guidelines for Application & Operation,,,,
,"Variable Frequency Drive: Guidelines for Application, Installation and Troubleshooting",,,,
,"Reliability of Pumping Equipment: Guidelines for Maximizing Uptime, Availability, and Reliability",,,,
,"Wastewater Treatment Plant Pumps: Guidelines for Selection, Application, and Operation",,,,
,Application Guidelines for Variable Speed Pumping,,,,
,"Couplings for the Pump Industry Selection, Installation, and Maintenance",,,,
,Pump Systems Assessment: Body of Knowledge,,,,
,"Water Treatment Plant Pumps: Guidelines for Selection,",,,,
,"Application, and Operation",,,,
,Pump Systems Assessment Professional (PSAP) Certification Study Guide,,,,
,Drivers Application Guidebook: Electric Motors,,,,
,Pump Application Guideline for Commercial Building Services,,,,
Pump Types,Acronym,Pump Description,Category,Reference:: https://www.pumps.org/what-we-do/standards/?pumps-search-product={{REF}},
,OH0,Overhung impeller - flexibly  coupled - horizontal - frame mounted - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH0c,Overhung impeller - flexibly  coupled - horizontal - axial flow - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH0d,Overhung - flexibly coupled - horizontal - frame mounted - pitot tube pump,Rotodynamic,ANSI/HI 14.1-14.2,
,OH1,Overhung impeller - flexibly  coupled - horizontal - foot mounted - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH1h,Overhung impeller - flexibly  coupled - horizontal - foot mounted - self-priming - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH1i,Overhung impeller - flexibly  coupled - horizontal - foot mounted - sealless - single stage,Rotodynamic,ANSI/HI 5.1-5.6,
,OH1j,Overhung impeller - flexibly  coupled - horizontal - foot mounted -multi-stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH2,Overhung impeller - flexibly  coupled - horizontal - centerline mounted - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH3,Overhung impeller - flexibly  coupled - vertical - in-line - integral bearing frame - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH3g,Overhung impeller - flexibly  coupled - vertical - end suction - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH4,Overhung impeller - rigidly coupled - vertical - in-line - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH5,Overhung impeller -close-coupled - vertical - in-line - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH5g,Overhung impeller -close-coupled - vertical - end suction - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH5i,Overhung impeller -close-coupled - vertical - in-line - sealless - single stage,Rotodynamic,ANSI/HI 5.1-5.6,
,OH6,Overhung impeller - close-coupled - vertical - in-line - high-speed integral gear - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH7,Overhung impeller - close-coupled - horizontal - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH7j,Overhung impeller - close-coupled - horizontal - multi-stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH7i,Overhung impeller - close-coupled - horizontal - sealless - single stage,Rotodynamic,ANSI/HI 5.1-5.6,
,OH8,Overhung impeller - close-coupled - submersible - diffuser - end suction - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH8b,Overhung impeller - close-coupled - submersible - volute - end suction - single stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH13j,Overhung impeller - rigidly coupled - horizontal - foot mounted - multi-stage,Rotodynamic,ANSI/HI 14.1-14.2,
,OH13i,Overhung impeller - rigidly coupled - horizontal - foot mounted - sealless - single stage,Rotodynamic,ANSI/HI 5.1-5.6,
,BB1,Between bearing impeller - 1 or 2 stage - axially split,Rotodynamic,ANSI/HI 14.1-14.2,
,BB2,Between bearing impeller - 1 or 2 stage - radially split,Rotodynamic,ANSI/HI 14.1-14.2,
,BB3,Between bearing impeller - multi-stage - axially split,Rotodynamic,ANSI/HI 14.1-14.2,
,BB4,Between bearing impeller - multi-stage - radially split - single casing,Rotodynamic,ANSI/HI 14.1-14.2,
,BB5,Between bearing impeller - multi-stage - radially split -double casing,Rotodynamic,ANSI/HI 14.1-14.2,
,VS0,Vertically suspended - single casing - discharge through column - submersible,Rotodynamic,ANSI/HI 14.1-14.2,
,VS1,Vertically suspended - single casing - discharge through column - diffuser,Rotodynamic,ANSI/HI 14.1-14.2,
,VS2,Vertically suspended - single casing - discharge through column - volute,Rotodynamic,ANSI/HI 14.1-14.2,
,VS3,Vertically suspended - single casing - discharge through column - axial flow,Rotodynamic,ANSI/HI 14.1-14.2,
,VS4,Vertically suspended - single casing - separate discharge - line shaft,Rotodynamic,ANSI/HI 14.1-14.2,
,VS5,Vertically suspended - single casing - separate discharge - cantilever,Rotodynamic,ANSI/HI 14.1-14.2,
,VS6,Vertically suspended - double casing - diffuser,Rotodynamic,ANSI/HI 14.1-14.2,
,VS7,Vertically suspended - double casing - volute,Rotodynamic,ANSI/HI 14.1-14.2,
,VS7j,Vertically suspended - double casing - volute - multi-stage,Rotodynamic,ANSI/HI 14.1-14.2,
,VS8,Vertically suspended - in-line casing - diffuser,Rotodynamic,ANSI/HI 14.1-14.2,
,CP1,Circulator pump - close-coupled - sealless - horizontal - in-line,Rotodynamic,ANSI/HI 14.1-14.2,
,CP2,Circulator pump - close-coupled - horizontal - in-line,Rotodynamic,ANSI/HI 14.1-14.2,
,CP3,Circulator pump - flexibly coupled - horizontal - in-line,Rotodynamic,ANSI/HI 14.1-14.2,
,RT1,Regenerative turbine - overhung - side channel,Rotodynamic,ANSI/HI 14.1-14.2,
,RT2,Regenerative turbine - overhung - peripheral,Rotodynamic,ANSI/HI 14.1-14.2,
,RT3,Regenerative turbine - between bearings - side channel,Rotodynamic,ANSI/HI 14.1-14.2,
,RT4,Regenerative turbine - between bearings - peripheral,Rotodynamic,ANSI/HI 14.1-14.2,
,,Sliding vane,Rotary Positive Displacement,ANSI/HI 3.1-3.5,
,,Vane type - sealless,Rotary Positive Displacement,ANSI/HI 4.1-4.6,
,,axial piston,Rotary Positive Displacement,ANSI/HI 3.1-3.5,
,,Flexible vane,Rotary Positive Displacement,ANSI/HI 3.1-3.5,
,,Flexible tube (peristaltic),Rotary Positive Displacement,ANSI/HI 3.1-3.5,
,,Single-lobe,Rotary Positive Displacement,ANSI/HI 3.1-3.5,
,,Three-lobe,Rotary Positive Displacement,ANSI/HI 3.1-3.5,
,,External gear,Rotary Positive Displacement,ANSI/HI 3.1-3.5,
,,Internal gear with crescent,Rotary Positive Displacement,ANSI/HI 3.1-3.5,
,,Internal gear without crescent,Rotary Positive Displacement,ANSI/HI 3.1-3.5,
,,Gear type - sealless,Rotary Positive Displacement,ANSI/HI 4.1-4.6,
,,Circumferential piston,Rotary Positive Displacement,ANSI/HI 3.1-3.5,
,,Single-screw (progressing cavity),Rotary Positive Displacement,ANSI/HI 3.1-3.5,
,,Two-screw (timed),Rotary Positive Displacement,ANSI/HI 3.1-3.5,
,,Three-screw (untimed),Rotary Positive Displacement,ANSI/HI 3.1-3.5,
,,Screw type - Sealless,Rotary Positive Displacement,ANSI/HI 4.1-4.6,
,,Piston - single or double acting - simplex or multiplex,Reciprocating Positive Displacement,HI 6.1-6.5,
,,Plunger- single or double acting - simplex or multiplex,Reciprocating Positive Displacement,HI 6.1-6.5,
,CVMP,Controlled volume metering - diaphragm,Reciprocating Positive Displacement,ANSI/HI 7.1-7.5,
,CVMP,Controlled volume metering - piston,Reciprocating Positive Displacement,ANSI/HI 7.1-7.5,
,,Direct acting - piston - single or double acting - simplex or duplex,Reciprocating Positive Displacement,HI 8.1-8.5,
,,Direct acting - plunger - single or double acting - simplex or duplex,Reciprocating Positive Displacement,HI 8.1-8.5,
,AOD,Air-operated - Diaphragm - simplex or duplex,Reciprocating Positive Displacement,ANSI/HI 10.1-10.5,
,AOD,Air-operated - Bellows - simplex or duplex,Reciprocating Positive Displacement,ANSI/HI 10.1-10.6,
,,Air-operated - piston,Reciprocating Positive Displacement,,
,,Air-operated - plunger,Reciprocating Positive Displacement,,
