,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,,
heading,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F,,
data,50,0.7796,56.5,0.7527,63,0.7275,69.5,0.7040,76,0.6819,82.5,0.6612,89,0.6417,95.5,0.6233,,
data,50.1,0.7792,56.6,0.7523,63.1,0.7271,69.6,0.7036,76.1,0.6816,82.6,0.6609,89.1,0.6414,95.6,0.6231,,
data,50.2,0.7788,56.7,0.7519,63.2,0.7268,69.7,0.7033,76.2,0.6813,82.7,0.6606,89.2,0.6411,95.7,0.6228,,
data,50.3,0.7783,56.8,0.7515,63.3,0.7264,69.8,0.7029,76.3,0.6809,82.8,0.6603,89.3,0.6409,95.8,0.6225,,
data,50.4,0.7779,56.9,0.7511,63.4,0.7260,69.9,0.7026,76.4,0.6806,82.9,0.6600,89.4,0.6406,95.9,0.6223,,
data,50.5,0.7775,57,0.7507,63.5,0.7256,70,0.7022,76.5,0.6803,83,0.6597,89.5,0.6403,96,0.6220,,
data,50.6,0.7770,57.1,0.7503,63.6,0.7253,70.1,0.7019,76.6,0.6800,83.1,0.6594,89.6,0.6400,96.1,0.6217,,
data,50.7,0.7766,57.2,0.7499,63.7,0.7249,70.2,0.7015,76.7,0.6796,83.2,0.6591,89.7,0.6397,96.2,0.6214,,
data,50.8,0.7762,57.3,0.7495,63.8,0.7245,70.3,0.7012,76.8,0.6793,83.3,0.6588,89.8,0.6394,96.3,0.6212,,
data,50.9,0.7758,57.4,0.7491,63.9,0.7242,70.4,0.7008,76.9,0.6790,83.4,0.6584,89.9,0.6391,96.4,0.6209,,
data,51,0.7753,57.5,0.7487,64,0.7238,70.5,0.7005,77,0.6787,83.5,0.6581,90,0.6388,96.5,0.6206,,
data,51.1,0.7749,57.6,0.7483,64.1,0.7234,70.6,0.7001,77.1,0.6783,83.6,0.6578,90.1,0.6385,96.6,0.6203,,
data,51.2,0.7745,57.7,0.7479,64.2,0.7230,70.7,0.6998,77.2,0.6780,83.7,0.6575,90.2,0.6382,96.7,0.6201,,
data,51.3,0.7741,57.8,0.7475,64.3,0.7227,70.8,0.6995,77.3,0.6777,83.8,0.6572,90.3,0.6380,96.8,0.6198,,
data,51.4,0.7736,57.9,0.7471,64.4,0.7223,70.9,0.6991,77.4,0.6774,83.9,0.6569,90.4,0.6377,96.9,0.6195,,
data,51.5,0.7732,58,0.7467,64.5,0.7219,71,0.6988,77.5,0.6770,84,0.6566,90.5,0.6374,97,0.6193,,
data,51.6,0.7728,58.1,0.7463,64.6,0.7216,71.1,0.6984,77.6,0.6767,84.1,0.6563,90.6,0.6371,97.1,0.6190,,
data,51.7,0.7724,58.2,0.7459,64.7,0.7212,71.2,0.6981,77.7,0.6764,84.2,0.6560,90.7,0.6368,97.2,0.6187,,
data,51.8,0.7720,58.3,0.7455,64.8,0.7208,71.3,0.6977,77.8,0.6761,84.3,0.6557,90.8,0.6365,97.3,0.6184,,
data,51.9,0.7715,58.4,0.7451,64.9,0.7205,71.4,0.6974,77.9,0.6757,84.4,0.6554,90.9,0.6362,97.4,0.6182,,
data,52,0.7711,58.5,0.7447,65,0.7201,71.5,0.6970,78,0.6754,84.5,0.6551,91,0.6360,97.5,0.6179,,
data,52.1,0.7707,58.6,0.7443,65.1,0.7197,71.6,0.6967,78.1,0.6751,84.6,0.6548,91.1,0.6357,97.6,0.6176,,
data,52.2,0.7703,58.7,0.7440,65.2,0.7194,71.7,0.6964,78.2,0.6748,84.7,0.6545,91.2,0.6354,97.7,0.6174,,
data,52.3,0.7699,58.8,0.7436,65.3,0.7190,71.8,0.6960,78.3,0.6745,84.8,0.6542,91.3,0.6351,97.8,0.6171,,
data,52.4,0.7694,58.9,0.7432,65.4,0.7186,71.9,0.6957,78.4,0.6741,84.9,0.6539,91.4,0.6348,97.9,0.6168,,
data,52.5,0.7690,59,0.7428,65.5,0.7183,72,0.6953,78.5,0.6738,85,0.6536,91.5,0.6345,98,0.6166,,
data,52.6,0.7686,59.1,0.7424,65.6,0.7179,72.1,0.6950,78.6,0.6735,85.1,0.6533,91.6,0.6342,98.1,0.6163,,
data,52.7,0.7682,59.2,0.7420,65.7,0.7175,72.2,0.6946,78.7,0.6732,85.2,0.6530,91.7,0.6340,98.2,0.6160,,
data,52.8,0.7678,59.3,0.7416,65.8,0.7172,72.3,0.6943,78.8,0.6728,85.3,0.6527,91.8,0.6337,98.3,0.6158,,
data,52.9,0.7674,59.4,0.7412,65.9,0.7168,72.4,0.6940,78.9,0.6725,85.4,0.6524,91.9,0.6334,98.4,0.6155,,
data,53,0.7669,59.5,0.7408,66,0.7165,72.5,0.6936,79,0.6722,85.5,0.6521,92,0.6331,98.5,0.6152,,
data,53.1,0.7665,59.6,0.7405,66.1,0.7161,72.6,0.6933,79.1,0.6719,85.6,0.6518,92.1,0.6328,98.6,0.6150,,
data,53.2,0.7661,59.7,0.7401,66.2,0.7157,72.7,0.6929,79.2,0.6716,85.7,0.6515,92.2,0.6325,98.7,0.6147,,
data,53.3,0.7657,59.8,0.7397,66.3,0.7154,72.8,0.6926,79.3,0.6713,85.8,0.6512,92.3,0.6323,98.8,0.6144,,
data,53.4,0.7653,59.9,0.7393,66.4,0.7150,72.9,0.6923,79.4,0.6709,85.9,0.6509,92.4,0.6320,98.9,0.6141,,
data,53.5,0.7649,60,0.7389,66.5,0.7146,73,0.6919,79.5,0.6706,86,0.6506,92.5,0.6317,99,0.6139,,
data,53.6,0.7645,60.1,0.7385,66.6,0.7143,73.1,0.6916,79.6,0.6703,86.1,0.6503,92.6,0.6314,99.1,0.6136,,
data,53.7,0.7640,60.2,0.7381,66.7,0.7139,73.2,0.6913,79.7,0.6700,86.2,0.6500,92.7,0.6311,99.2,0.6134,,
data,53.8,0.7636,60.3,0.7377,66.8,0.7136,73.3,0.6909,79.8,0.6697,86.3,0.6497,92.8,0.6309,99.3,0.6131,,
data,53.9,0.7632,60.4,0.7374,66.9,0.7132,73.4,0.6906,79.9,0.6693,86.4,0.6494,92.9,0.6306,99.4,0.6128,,
data,54,0.7628,60.5,0.7370,67,0.7128,73.5,0.6902,80,0.6690,86.5,0.6491,93,0.6303,99.5,0.6126,,
data,54.1,0.7624,60.6,0.7366,67.1,0.7125,73.6,0.6899,80.1,0.6687,86.6,0.6488,93.1,0.6300,99.6,0.6123,,
data,54.2,0.7620,60.7,0.7362,67.2,0.7121,73.7,0.6896,80.2,0.6684,86.7,0.6485,93.2,0.6297,99.7,0.6120,,
data,54.3,0.7616,60.8,0.7358,67.3,0.7118,73.8,0.6892,80.3,0.6681,86.8,0.6482,93.3,0.6294,99.8,0.6118,,
data,54.4,0.7612,60.9,0.7354,67.4,0.7114,73.9,0.6889,80.4,0.6678,86.9,0.6479,93.4,0.6292,99.9,0.6115,,
data,54.5,0.7608,61,0.7351,67.5,0.7111,74,0.6886,80.5,0.6675,87,0.6476,93.5,0.6289,100,0.6112,,
data,54.6,0.7603,61.1,0.7347,67.6,0.7107,74.1,0.6882,80.6,0.6671,87.1,0.6473,93.6,0.6286,,,,
data,54.7,0.7599,61.2,0.7343,67.7,0.7103,74.2,0.6879,80.7,0.6668,87.2,0.6470,93.7,0.6283,,,,
data,54.8,0.7595,61.3,0.7339,67.8,0.7100,74.3,0.6876,80.8,0.6665,87.3,0.6467,93.8,0.6281,,,,
data,54.9,0.7591,61.4,0.7335,67.9,0.7096,74.4,0.6872,80.9,0.6662,87.4,0.6464,93.9,0.6278,,,,
data,55,0.7587,61.5,0.7332,68,0.7093,74.5,0.6869,81,0.6659,87.5,0.6461,94,0.6275,,,,
data,55.1,0.7583,61.6,0.7328,68.1,0.7089,74.6,0.6866,81.1,0.6656,87.6,0.6458,94.1,0.6272,,,,
data,55.2,0.7579,61.7,0.7324,68.2,0.7086,74.7,0.6862,81.2,0.6653,87.7,0.6455,94.2,0.6269,,,,
data,55.3,0.7575,61.8,0.7320,68.3,0.7082,74.8,0.6859,81.3,0.6649,87.8,0.6452,94.3,0.6267,,,,
data,55.4,0.7571,61.9,0.7316,68.4,0.7079,74.9,0.6856,81.4,0.6646,87.9,0.6449,94.4,0.6264,,,,
data,55.5,0.7567,62,0.7313,68.5,0.7075,75,0.6852,81.5,0.6643,88,0.6446,94.5,0.6261,,,,
data,55.6,0.7563,62.1,0.7309,68.6,0.7071,75.1,0.6849,81.6,0.6640,88.1,0.6444,94.6,0.6258,,,,
data,55.7,0.7559,62.2,0.7305,68.7,0.7068,75.2,0.6846,81.7,0.6637,88.2,0.6441,94.7,0.6256,,,,
data,55.8,0.7555,62.3,0.7301,68.8,0.7064,75.3,0.6842,81.8,0.6634,88.3,0.6438,94.8,0.6253,,,,
data,55.9,0.7551,62.4,0.7298,68.9,0.7061,75.4,0.6839,81.9,0.6631,88.4,0.6435,94.9,0.6250,,,,
data,56,0.7547,62.5,0.7294,69,0.7057,75.5,0.6836,82,0.6628,88.5,0.6432,95,0.6247,,,,
data,56.1,0.7543,62.6,0.7290,69.1,0.7054,75.6,0.6832,82.1,0.6625,88.6,0.6429,95.1,0.6244,,,,
data,56.2,0.7539,62.7,0.7286,69.2,0.7050,75.7,0.6829,82.2,0.6621,88.7,0.6426,95.2,0.6242,,,,
data,56.3,0.7535,62.8,0.7283,69.3,0.7047,75.8,0.6826,82.3,0.6618,88.8,0.6423,95.3,0.6239,,,,
data,56.4,0.7531,62.9,0.7279,69.4,0.7043,75.9,0.6823,82.4,0.6615,88.9,0.6420,95.4,0.6236,,,,