,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temp. (째C),Specific Volume (Cu m/kg),,Specific Gravity,,Specific Weight (kN/Cu m),Vapor Pressure (kPa)
heading,,,4 째C Ref,15.56 째C Ref,20 째C Ref,,
data,0,0.00100,1,1.001,1.002,9.81,0.607
data,1.7,0.00100,1,1.001,1.002,9.81,0.689
data,4.4,0.00100,1,1.001,1.002,9.81,0.839
data,10,0.00100,0.999,1.001,1.002,9.80,1.228
data,15.6,0.00100,0.999,1,1.001,9.79,1.767
data,21.1,0.00100,0.998,0.999,1,9.78,2.503
data,26.7,0.00100,0.996,0.998,0.999,9.77,3.495
data,32.2,0.00101,0.995,0.996,0.997,9.76,4.814
data,37.8,0.00101,0.993,0.994,0.995,9.74,6.545
data,48.9,0.00101,0.989,0.99,0.991,9.70,11.666
data,60,0.00102,0.983,0.985,0.986,9.64,19.919
data,71.1,0.00102,0.977,0.979,0.979,9.58,32.688
data,82.2,0.00103,0.97,0.972,0.973,9.51,51.780
data,93.3,0.00104,0.963,0.964,0.966,9.45,79.469
data,100,0.00104,0.958,0.959,0.96,9.40,101.325
data,104.4,0.00105,0.955,0.956,0.957,9.37,118.493
data,115.6,0.00106,0.947,0.948,0.949,9.28,172.162
data,126.7,0.00107,0.938,0.939,0.94,9.19,244.281
data,137.8,0.00108,0.928,0.929,0.93,9.11,339.222
data,148.9,0.00109,0.918,0.919,0.92,9.00,462.018
data,160,0.00110,0.908,0.909,0.91,8.90,618.184
data,171.1,0.00112,0.896,0.898,0.899,8.79,813.651
data,182.2,0.00113,0.885,0.886,0.887,8.67,1055.174
data,193.3,0.00115,0.873,0.874,0.875,8.56,1349.787
data,204.4,0.00116,0.859,0.86,0.862,8.43,1705.143
data,215.6,0.00118,0.846,0.847,0.848,8.29,2129.309
data,226.7,0.00120,0.832,0.833,0.834,8.16,2630.971
data,237.8,0.00122,0.817,0.818,0.819,8.01,3219.163
data,248.9,0.00125,0.801,0.802,0.803,7.85,3903.124
data,260,0.00127,0.785,0.786,0.787,7.70,4693.953
data,271.1,0.00130,0.765,0.766,0.767,7.52,5601.303
data,282.2,0.00134,0.746,0.747,0.748,7.31,6636.207
data,293.3,0.00138,0.726,0.727,0.728,7.12,7812.453
data,304.4,0.00142,0.703,0.704,0.704,6.90,9141.073
data,315.6,0.00147,0.678,0.679,0.68,6.64,10637.925
data,326.7,0.00154,0.649,0.65,0.65,6.36,12318.178
data,337.8,0.00162,0.617,0.618,0.618,6.05,14201.137
data,348.9,0.00174,0.577,0.577,0.578,5.66,16308.865
data,360,0.00190,0.525,0.526,0.527,5.15,18671.700
data,371.1,0.00230,0.434,0.435,0.435,4.26,21330.319
data,374.1,0.00314,0.319,0.319,0.32,3.13,22105.980
