,numeric,numeric,numeric,numeric,numeric,string
heading,Nominal Size,Nominal Outside Dia. (in),Nominal Wall Thickness(in),Nominal Internal Diameter,e (ft),Thickness Class
data,0.125,0.405,0.058,0.289,0.002000,Special 1
data,0.125,0.405,0.062,0.281,0.002000,Regular
data,0.125,0.405,0.1,0.205,0.002000,Extra Strong
data,0.25,0.54,0.065,0.41,0.002000,Special 1
data,0.25,0.54,0.072,0.396,0.002000,Special 2
data,0.25,0.54,0.082,0.376,0.002000,Regular
data,0.25,0.54,0.123,0.294,0.002000,Extra Strong
data,0.375,0.675,0.065,0.545,0.002000,Special 1
data,0.375,0.675,0.072,0.531,0.002000,Special 2
data,0.375,0.675,0.095,0.485,0.002000,Special 3
data,0.375,0.675,0.148,0.379,0.002000,Special 4
data,0.375,0.675,0.09,0.495,0.002000,Regular
data,0.375,0.675,0.127,0.421,0.002000,Extra Strong
data,0.5,0.84,0.065,0.71,0.002000,Special 1
data,0.5,0.84,0.072,0.696,0.002000,Special 2
data,0.5,0.84,0.12,0.6,0.002000,Special 3
data,0.5,0.84,0.203,0.434,0.002000,Special 4
data,0.5,0.84,0.107,0.626,0.002000,Regular
data,0.5,0.84,0.149,0.542,0.002000,Extra Strong
data,0.75,1.05,0.065,0.92,0.002000,Special 1
data,0.75,1.05,0.083,0.884,0.002000,Special 2
data,0.75,1.05,0.148,0.754,0.002000,Special 3
data,0.75,1.05,0.238,0.574,0.002000,Special 4
data,0.75,1.05,0.114,0.822,0.002000,Regular
data,0.75,1.05,0.157,0.736,0.002000,Extra Strong
data,1,1.315,0.065,1.185,0.002000,Special 1
data,1,1.315,0.095,1.125,0.002000,Special 2
data,1,1.315,0.203,0.909,0.002000,Special 3
data,1,1.315,0.34,0.635,0.002000,Special 4
data,1,1.315,0.126,1.063,0.002000,Regular
data,1,1.315,0.182,0.951,0.002000,Extra Strong
data,1.125,1.66,0.072,1.516,0.002000,Special 1
data,1.125,1.66,0.095,1.47,0.002000,Special 2
data,1.125,1.66,0.12,1.42,0.002000,Special 3
data,1.125,1.66,0.22,1.22,0.002000,Special 4
data,1.125,1.66,0.38,0.9,0.002000,Special 5
data,1.125,1.66,0.146,1.368,0.002000,Regular
data,1.125,1.66,0.194,1.272,0.002000,Extra Strong
data,1.5,1.9,0.072,1.756,0.002000,Special 1
data,1.5,1.9,0.109,1.682,0.002000,Special 2
data,1.5,1.9,0.134,1.632,0.002000,Special 3
data,1.5,1.9,0.25,1.4,0.002000,Special 4
data,1.5,1.9,0.425,1.05,0.002000,Special 5
data,1.5,1.9,0.15,1.6,0.002000,Regular
data,1.5,1.9,0.203,1.494,0.002000,Extra Strong
data,2,2.375,0.083,2.209,0.002000,Special 1
data,2,2.375,0.12,2.135,0.002000,Special 2
data,2,2.375,0.165,2.045,0.002000,Special 3
data,2,2.375,0.34,1.695,0.002000,Special 4
data,2,2.375,0.52,1.335,0.002000,Special 5
data,2,2.375,0.156,2.063,0.002000,Regular
data,2,2.375,0.221,1.933,0.002000,Extra Strong
data,2.5,2.875,0.083,2.709,0.002000,Special 1
data,2.5,2.875,0.134,2.607,0.002000,Special 2
data,2.5,2.875,0.203,2.469,0.002000,Special 3
data,2.5,2.875,0.38,2.115,0.002000,Special 4
data,2.5,2.875,0.187,2.501,0.002000,Regular
data,2.5,2.875,0.28,2.315,0.002000,Extra Strong
data,3,3.5,0.095,3.31,0.002000,Special 1
data,3,3.5,0.165,3.17,0.002000,Special 2
data,3,3.5,0.25,3,0.002000,Special 3
data,3,3.5,0.458,2.584,0.002000,Special 4
data,3,3.5,0.219,3.062,0.002000,Regular
data,3,3.5,0.304,2.892,0.002000,Extra Strong
data,3.5,4,0.095,3.81,0.002000,Special 1
data,3.5,4,0.18,3.64,0.002000,Special 2
data,3.5,4,0.284,3.432,0.002000,Special 3
data,3.5,4,0.25,3.5,0.002000,Regular
data,3.5,4,0.321,3.358,0.002000,Extra Strong
data,4,4.5,0.109,4.282,0.002000,Special 1
data,4,4.5,0.203,4.094,0.002000,Special 2
data,4,4.5,0.34,3.82,0.002000,Special 3
data,4,4.5,0.25,4,0.002000,Regular
data,4,4.5,0.341,3.818,0.002000,Extra Strong
data,5,5.562,0.125,5.312,0.002000,Special 1
data,5,5.562,0.22,5.122,0.002000,Special 2
data,5,5.562,0.425,4.712,0.002000,Special 3
data,5,5.562,0.25,5.062,0.002000,Regular
data,5,5.562,0.375,4.812,0.002000,Extra Strong
data,6,6.625,0.134,6.357,0.002000,Special 1
data,6,6.625,0.259,6.107,0.002000,Special 2
data,6,6.625,0.457,5.711,0.002000,Special 3
data,6,6.625,0.25,6.125,0.002000,Regular
data,6,6.625,0.437,5.751,0.002000,Extra Strong