,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
heading,TYPE,Flange Class,Nominal Pipe Size (NPS),Outside Diameter Flange (O),Drilling-Diameter Bolt Circle (W) ,Drilling-Diameter Bolt Holes,Drilling-Number of Bolts,Drilling-Bolt Diameter,Stud Bolts (L)-Raised Face,Machine Bolts (L) - Raised face,Diameter of Hub (X),Min Thickness Flange (tf),Bore- Min Lapped (B2),Length Through Hub- Lapped (Y2),Length Through Hub-Threaded Slip on/Socket Welding (Y1),Bore- Min Slip On Socket Weld (B1),Diameter Beginning Chamfer Welding Neck (A),Length Through Hub Bore Welding Neck (Y3),Depth of socket (D),Min Thread Length Threaded (T),Min Counterbore Threaded Flange (Q) 
tags,None,All,All,All,All,All,All,All,All,All,All,All,La,La,"Th, SO, SW","SO, SW",WN,WN,SW,Th,Th
data,ASME 16.5,400, 1/2,3.75,2.62,0.63,4,0.5,-,-,1.5,0.56,0.9,0.88,0.88,0.88,0.84,2.06,0.38,0.62,-
data,ASME 16.5,400, 3/4,4.62,3.25,0.75,4,0.63,-,-,1.88,0.62,1.11,1,1,1.09,1.05,2.25,0.44,0.62,-
data,ASME 16.5,400,1,4.88,3.5,0.75,4,0.63,-,-,2.12,0.69,1.38,1.06,1.06,1.36,1.32,2.44,0.5,0.69,-
data,ASME 16.5,400,1 1/4,5.25,3.88,0.75,4,0.63,-,-,2.5,0.81,1.72,1.12,1.12,1.7,1.66,2.62,0.56,0.81,-
data,ASME 16.5,400,1 1/2,6.12,4.5,0.88,4,0.75,-,-,2.75,0.88,1.97,1.25,1.25,1.95,1.9,2.75,0.62,0.88,-
data,ASME 16.5,400,2,6.5,5,0.75,8,0.63,-,-,3.31,1,2.46,1.44,1.44,2.44,2.38,2.88,0.69,1.12,-
data,ASME 16.5,400,2 1/2,7.5,5.88,0.88,8,0.75,-,-,3.94,1.12,2.97,1.62,1.62,2.94,2.88,3.12,0.75,1.25,-
data,ASME 16.5,400,3,8.25,6.62,0.88,8,0.75,-,-,4.62,1.25,3.6,1.81,1.81,3.57,3.5,3.25,0.81,1.38,-
data,ASME 16.5,400,3 1/2,9,7.25,1,8,0.88,-,-,5.25,1.38,4.1,1.94,1.94,4.07,4,3.38,-,1.56,-
data,ASME 16.5,400,4,10,7.88,1,8,0.88,5.5,5.25,5.75,1.38,4.63,2,2,4.57,4.5,3.5,-,1.44,4.63
data,ASME 16.5,400,5,11,9.25,1,8,0.88,5.75,5.25,7,1.5,5.69,2.12,2.12,5.66,5.56,4,-,1.69,5.69
data,ASME 16.5,400,6,12.5,10.62,1,12,0.88,6,5.75,8.12,1.62,6.75,2.25,2.25,6.72,6.63,4.06,-,1.81,6.75
data,ASME 16.5,400,8,15,13,1.13,12,1,6.75,6.5,10.25,1.88,8.75,2.69,2.69,8.72,8.63,4.62,-,2,8.75
data,ASME 16.5,400,10,17.5,15.25,1.25,16,1.13,7.5,7.25,12.62,2.12,10.92,4,2.88,10.88,10.75,4.88,-,2.19,10.88
data,ASME 16.5,400,12,20.5,17.75,1.38,16,1.25,8,7.75,14.75,2.25,12.92,4.25,3.12,12.88,12.75,5.38,-,2.38,12.94
data,ASME 16.5,400,14,23,20.25,1.38,20,1.25,8.25,8,16.75,2.38,14.18,4.62,3.31,14.14,14,5.88,-,2.5,14.19
data,ASME 16.5,400,16,25.5,23,1.5,20,1.38,8.75,8.5,19,2.5,16.19,5,3.69,16.16,16,6,-,2.69,16.19
data,ASME 16.5,400,18,28,24.75,1.5,24,1.38,9,8.75,21,2.62,18.2,5.38,3.88,18.18,18,6.5,-,2.75,18.19
data,ASME 16.5,400,20,30.5,27,1.63,24,1.5,9.5,9.25,23.12,2.75,20.25,5.75,4,20.2,20,6.62,-,2.88,20.19
data,ASME 16.5,400,22,33,29.25,1.75,24,1.63,10,9.75,25.25,2.88,22.25,6,4.25,22.22,22,6.75,-,…,…
data,ASME 16.5,400,24,36,32,1.88,24,1.75,10.5,10.25,27.62,3,24.25,6.25,4.5,24.25,24,6.88,-,3.25,24.19
data,ASME 16.5,600, 1/2,3.75,2.62,0.63,4,0.5,3,2.75,1.5,0.56,0.9,0.88,0.88,0.88,0.84,2.06,0.38,0.62,0.93
data,ASME 16.5,600, 3/4,4.62,3.25,0.75,4,0.63,3.5,3.25,1.88,0.62,1.11,1,1,1.09,1.05,2.25,0.44,0.62,1.14
data,ASME 16.5,600,1,4.88,3.5,0.75,4,0.63,3.5,3.25,2.12,0.69,1.38,1.06,1.06,1.36,1.32,2.44,0.5,0.69,1.41
data,ASME 16.5,600,1 1/4,5.25,3.88,0.75,4,0.63,3.75,3.5,2.5,0.81,1.72,1.12,1.12,1.7,1.66,2.62,0.56,0.81,1.75
data,ASME 16.5,600,1 1/2,6.12,4.5,0.88,4,0.75,4.25,4,2.75,0.88,1.97,1.25,1.25,1.95,1.9,2.75,0.62,0.88,1.99
data,ASME 16.5,600,2,6.5,5,0.75,8,0.63,4.25,4,3.31,1,2.46,1.44,1.44,2.44,2.38,2.88,0.69,1.12,0.25
data,ASME 16.5,600,2 1/2,7.5,5.88,0.88,8,0.75,4.75,4.5,3.94,1.12,2.97,1.62,1.62,2.94,2.88,3.12,0.75,1.25,3
data,ASME 16.5,600,3,8.25,6.62,0.88,8,0.75,5,4.75,4.62,1.25,3.6,1.81,1.81,3.57,3.5,3.25,0.81,1.38,3.63
data,ASME 16.5,600,3 1/2,9,7.25,1,8,0.88,5.5,5.25,5.25,1.38,4.1,1.94,1.94,4.07,4,3.38,…,1.56,4.13
data,ASME 16.5,600,4,10.75,8.5,1,8,0.88,5.75,5.5,6,1.5,4.6,2.12,2.12,4.57,4.5,4,…,1.62,4.63
data,ASME 16.5,600,5,13,10.5,1.13,8,1,6.5,6.25,7.44,1.75,5.69,2.38,2.38,5.66,5.56,4.5,…,1.88,5.69
data,ASME 16.5,600,6,14,11.5,1.13,12,1,6.75,6.5,8.75,1.88,6.75,2.62,2.62,6.72,6.63,4.62,…,2,6.75
data,ASME 16.5,600,8,16.5,13.75,1.25,12,1.13,7.5,7.25,10.75,2.19,8.75,3,3,8.72,8.63,5.25,…,2.25,8.75
data,ASME 16.5,600,10,20,17,1.38,16,1.25,8.5,8.25,13.5,2.5,10.92,4.38,3.38,10.88,10.75,6,…,2.56,10.88
data,ASME 16.5,600,12,22,19.25,1.38,20,1.25,8.75,8.5,15.75,2.62,12.92,4.62,3.62,12.88,12.75,6.12,…,2.75,12.94
data,ASME 16.5,600,14,23.75,20.75,1.5,20,1.38,9.25,9,17,2.75,14.18,5,3.69,14.14,14,6.5,…,2.88,14.19
data,ASME 16.5,600,16,27,23.75,1.63,20,1.5,10,9.75,19.5,3,16.19,5.5,4.19,16.16,16,7,…,3.06,16.19
data,ASME 16.5,600,18,29.25,25.75,1.75,20,1.63,10.75,10.5,21.5,3.25,18.2,6,4.62,18.18,18,7.25,…,3.12,18.19
data,ASME 16.5,600,20,32,28.5,1.75,24,1.63,11.25,11,24,3.5,20.25,6.5,5,20.2,20,7.5,…,3.25,20.19
data,ASME 16.5,600,22,34.25,30.62,1.88,24,1.75,12,…,26.25,3.75,22.25,6.88,5.25,22.22,22,7.75,…,…,…
data,ASME 16.5,600,24,37,33,2,24,1.88,13,12.75,28.25,4,24.25,7.25,5.5,24.25,24,8,…,3.62,24.19
data,ASME 16.5,900, 1/2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900, 3/4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900,1 1/4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900,1 1/2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900,2 1/2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
data,ASME 16.5,900,3,9.5,7.5,1,8,0.88,5.75,5.75,5,1.5,3.6,2.12,2.12,3.57,3.5,4,-,1.62,3.63
data,ASME 16.5,900,4,11.5,9.25,1.25,8,1.13,6.75,6.75,6.25,1.75,4.6,2.75,2.75,4.57,4.5,4.5,-,1.88,4.63
data,ASME 16.5,900,5,13.75,11,1.38,8,1.25,7.5,7.5,7.5,2,5.69,3.12,3.12,5.66,5.56,5,-,2.12,5.69
data,ASME 16.5,900,6,15,12.5,1.25,12,1.13,7.5,7.75,9.25,2.19,6.75,3.38,3.38,6.72,6.63,5.5,-,2.25,6.75
data,ASME 16.5,900,8,18.5,15.5,1.5,12,1.38,8.75,8.75,11.75,2.5,8.75,4.5,4,8.72,8.63,6.38,-,2.5,8.75
data,ASME 16.5,900,10,21.5,18.5,1.5,16,1.38,9.25,9.25,14.5,2.75,10.92,5,4.25,10.88,10.75,7.25,-,2.81,10.88
data,ASME 16.5,900,12,24,21,1.5,20,1.38,10,10,16.5,3.12,12.92,5.62,4.62,12.88,12.75,7.88,-,3,12.94
data,ASME 16.5,900,14,25.25,22,1.63,20,1.5,10.75,11,17.75,3.38,14.18,6.12,5.12,14.14,14,8.38,-,3.25,14.19
data,ASME 16.5,900,16,27.75,24.25,1.75,20,1.63,11.25,11.5,20,3.5,16.19,6.5,5.25,16.16,16,8.5,-,3.38,16.19
data,ASME 16.5,900,18,31,27,2,20,1.88,12.75,13.25,22.25,4,18.2,7.5,6,18.18,18,9,-,3.5,18.19
data,ASME 16.5,900,20,33.75,29.5,2.13,20,2,13.75,14.25,24.5,4.25,20.25,8.25,6.25,20.2,20,9.75,-,3.62,20.19
data,ASME 16.5,900,24,41,35.5,2.63,20,2.5,17.25,18,29.5,5.5,24.25,10.5,8,24.25,24,11.5,-,4,24.19
data,ASME 16.5,1500, 1/2,4.75,3.25,0.88,4,0.75,4.25,4,1.5,0.88,0.9,1.25,1.25,0.88,0.84,2.28,0.38,0.88,0.93
data,ASME 16.5,1500, 3/4,5.12,3.5,0.88,4,0.75,4.5,4.25,1.75,1,1.11,1.38,1.38,1.09,1.05,2.75,0.44,1,1.14
data,ASME 16.5,1500,1,5.88,4,1,4,0.88,5,4.75,2.06,1.12,1.38,1.62,1.62,1.36,1.32,2.88,0.5,1.12,1.41
data,ASME 16.5,1500,1 1/4,6.25,4.38,1,4,0.88,5,4.75,2.5,1.12,1.72,1.62,1.62,1.7,1.66,2.88,0.56,1.19,1.75
data,ASME 16.5,1500,1 1/2,7,4.88,1.13,4,1,5.5,5.25,2.75,1.25,1.97,1.75,1.75,1.95,1.9,3.25,0.62,1.25,1.99
data,ASME 16.5,1500,2,8.5,6.5,1,8,0.88,5.75,5.5,4.12,1.5,2.46,2.25,2.25,2.44,2.38,4,0.69,1.5,2.5
data,ASME 16.5,1500,2 1/2,9.62,7.5,1.13,8,1,6.25,6,4.88,1.62,2.97,2.5,2.5,2.94,2.88,4.12,0.75,1.88,3
data,ASME 16.5,1500,3,10.5,8,1.13,8,1.13,7,6.75,5.25,1.88,3.6,2.88,…,…,3.5,4.62,…,…,…
data,ASME 16.5,1500,4,12.25,9.5,1.38,8,1.25,7.75,7.5,6.38,2.12,4.6,3.56,…,…,4.5,4.88,…,…,…
data,ASME 16.5,1500,5,14.75,11.5,1.63,8,1.5,9.75,9.5,7.75,2.88,5.69,4.12,…,…,5.56,6.12,…,…,…
data,ASME 16.5,1500,6,15.5,12.5,1.5,12,1.38,10.25,10,9,3.25,6.75,4.69,…,…,6.63,6.75,…,…,…
data,ASME 16.5,1500,8,19,15.5,1.75,12,1.63,11.5,11.25,11.5,3.62,8.75,5.62,…,…,8.63,8.38,…,…,…
data,ASME 16.5,1500,10,23,19,2,12,1.88,13.25,13,14.5,4.25,10.92,7,…,…,10.75,10,…,…,…
data,ASME 16.5,1500,12,26.5,22.5,2.13,16,2,14.75,14.5,17.75,4.88,12.92,8.62,…,…,12.75,11.12,…,…,…
data,ASME 16.5,1500,14,29.5,25,2.38,16,2.25,16,15.75,19.5,5.25,14.18,9.5,…,…,14,11.75,…,…,…
data,ASME 16.5,1500,16,32.5,27.75,2.63,16,2.5,17.5,17.25,21.75,5.75,16.19,10.25,…,…,16,12.25,…,…,…
data,ASME 16.5,1500,18,36,30.5,2.88,16,2.75,19.5,19.25,23.5,6.38,18.2,10.88,…,…,18,12.88,…,…,…
data,ASME 16.5,1500,20,38.75,32.75,3.13,16,3,21.25,21,25.25,7,20.25,11.5,…,…,20,14,…,…,…
data,ASME 16.5,1500,24,46,39,3.63,16,3,24.25,24,30,8,24.25,13,…,…,24,16,…,…,…
data,ASME 16.5,2500, 1/2,5.25,3.5,0.88,4,0.75,4.75,4.5,1.69,1.19,0.9,1.56,1.56,-,0.84,2.88,-,1.12,0.93
data,ASME 16.5,2500, 3/4,5.5,3.75,0.88,4,0.75,5,4.75,2,1.25,1.11,1.69,1.69,-,1.05,3.12,-,1.25,1.14
data,ASME 16.5,2500,1,6.25,4.25,1,4,0.88,5.5,5.25,2.25,1.38,1.38,1.88,1.88,-,1.32,3.5,-,1.38,1.41
data,ASME 16.5,2500,1 1/4,7.25,5.12,1.13,4,1,6,5.75,2.88,1.5,1.72,2.06,2.06,-,1.66,3.75,-,1.5,1.75
data,ASME 16.5,2500,1 1/2,8,5.75,1.25,4,1.13,6.75,6.5,3.12,1.75,1.97,2.38,2.38,-,1.9,4.38,-,1.75,1.99
data,ASME 16.5,2500,2,9.25,6.75,1.13,8,1,7,6.75,3.75,2,2.46,2.75,2.75,-,2.38,5,-,2,2.5
data,ASME 16.5,2500,2 1/2,10.5,7.75,1.25,8,1.13,7.75,7.5,4.5,2.25,2.97,3.12,3.12,-,2.88,5.62,-,2.25,3
data,ASME 16.5,2500,3,12,9,1.38,8,1.25,8.75,8.5,5.25,2.62,3.6,3.62,…,-,3.5,6.62,-,…,…
data,ASME 16.5,2500,4,14,10.75,1.63,8,1.5,10,9.75,6.5,3,4.6,4.25,…,-,4.5,7.5,-,…,…
data,ASME 16.5,2500,5,16.5,12.75,1.88,8,1.75,11.75,11.5,8,3.62,5.69,5.12,…,-,5.56,9,-,…,…
data,ASME 16.5,2500,6,19,14.5,2.13,8,2,13.5,13.25,9.25,4.25,6.75,6,…,-,6.63,10.75,-,…,…
data,ASME 16.5,2500,8,21.75,17.25,2.13,12,2,15,14.75,12,5,8.75,7,…,-,8.63,12.5,-,…,…
data,ASME 16.5,2500,10,26.5,21.25,2.63,12,2.5,19.25,19,14.75,6.5,10.92,9,…,-,10.75,16.5,-,…,…
data,ASME 16.5,2500,12,30,24.38,2.88,12,2.75,21.25,21,17.38,7.25,12.92,10,…,-,12.75,18.25,-,…,…
